,Date,Open,High,Low,Close,Volume
312,2021-03-31,118.8,120.4,115.0,116.18,1835403.0
313,2021-04-01,116.78,119.0,116.0,116.81,1208979.0
314,2021-04-02,117.4,118.0,116.05,117.41,157824.0
315,2021-04-05,117.89,117.89,114.5,114.95,272428.0
316,2021-04-06,114.85,117.57,114.55,116.83,242127.0
317,2021-04-07,116.5,117.38,113.0,113.6,1813618.0
318,2021-04-08,114.87,117.4,112.11,115.66,998575.0
319,2021-04-09,118.0,118.95,114.01,117.37,558914.0
320,2021-04-12,118.7,118.7,116.0,116.65,179011.0
321,2021-04-13,117.3,118.04,115.77,117.7,977655.0
322,2021-04-14,117.94,119.3,117.94,118.8,1361999.0
323,2021-04-15,119.01,119.01,117.4,117.99,436813.0
324,2021-04-16,118.68,119.25,118.0,118.53,896941.0
325,2021-04-19,117.05,120.0,116.9,117.44,238583.0
326,2021-04-20,119.0,120.99,117.52,119.54,895996.0
327,2021-04-21,120.0,121.4,119.01,120.1,1072058.0
328,2021-04-22,120.05,127.49,120.05,122.77,1499670.0
329,2021-04-23,123.7,123.7,121.9,122.05,864770.0
330,2021-04-26,122.5,129.2,121.02,125.32,3305701.0
331,2021-04-27,125.7,127.95,125.03,126.03,1696191.0
332,2021-04-28,124.6,126.3,123.25,123.77,1338651.0
333,2021-04-29,123.8,126.99,121.0,124.05,2402046.0
334,2021-04-30,124.55,126.5,122.11,124.85,1872049.0
335,2021-05-03,126.0,127.85,123.55,125.84,3083550.0
336,2021-05-04,127.97,129.0,125.0,127.74,1612059.0
337,2021-05-05,128.0,128.0,125.99,126.49,440870.0
338,2021-05-06,127.47,127.8,125.7,127.07,2620856.0
339,2021-05-17,125.8,128.25,125.01,126.6,1281995.0
340,2021-05-18,126.95,127.44,125.01,126.22,963005.0
341,2021-05-19,126.0,126.0,124.4,124.89,855326.0
342,2021-05-20,124.5,125.75,121.2,122.04,790533.0
343,2021-05-21,122.95,125.3,122.05,123.89,1473126.0
344,2021-05-24,124.5,126.0,124.0,124.93,881822.0
345,2021-05-25,125.47,129.5,124.0,128.91,3880680.0
346,2021-05-26,128.99,131.0,128.01,130.43,2983057.0
347,2021-05-27,132.0,134.25,130.0,131.79,3910072.0
348,2021-05-28,131.01,135.19,131.01,134.07,4761834.0
349,2021-05-31,134.95,137.45,134.95,135.92,2293654.0
350,2021-06-01,135.96,137.75,135.5,136.76,1557538.0
351,2021-06-02,137.0,137.0,134.05,134.71,1366996.0
352,2021-06-03,135.83,136.0,132.57,134.05,1156765.0
353,2021-06-04,134.02,135.93,132.8,133.68,486834.0
354,2021-06-07,134.0,135.5,132.17,133.17,568821.0
355,2021-06-08,133.95,134.5,133.07,133.97,357452.0
356,2021-06-09,134.44,134.44,132.01,132.63,409842.0
357,2021-06-10,133.45,135.75,132.06,134.51,1506851.0
358,2021-06-11,135.05,136.5,134.25,135.1,1223602.0
359,2021-06-14,136.5,136.5,134.51,135.07,820637.0
360,2021-06-15,135.85,135.85,134.0,134.77,479868.0
361,2021-06-16,135.57,135.7,134.6,135.2,1257607.0
362,2021-06-17,135.5,135.69,133.5,133.67,169731.0
363,2021-06-18,133.05,133.77,129.0,130.03,2267721.0
364,2021-06-21,130.95,131.94,128.9,130.38,451442.0
365,2021-06-22,130.5,132.0,129.01,130.58,299893.0
366,2021-06-23,130.6,131.0,128.65,129.85,435491.0
367,2021-06-24,130.0,131.7,129.05,130.39,637245.0
368,2021-06-25,130.95,130.95,126.26,127.48,1753036.0
369,2021-06-28,127.25,128.0,123.0,123.46,1300352.0
370,2021-06-29,124.23,126.9,123.46,125.21,1156820.0
371,2021-06-30,124.94,124.95,122.05,122.37,4257352.0
372,2021-07-01,122.9,124.75,122.56,123.46,1048077.0
373,2021-07-02,123.86,124.88,123.0,123.57,822320.0
374,2021-07-05,123.15,124.45,122.5,122.61,413241.0
375,2021-07-06,123.9,125.9,122.51,125.5,2523758.0
376,2021-07-07,125.95,127.8,125.7,126.95,1409206.0
377,2021-07-08,127.24,128.55,127.15,128.28,1223609.0
378,2021-07-09,128.95,130.4,126.75,128.68,1872284.0
379,2021-07-12,129.44,129.95,127.31,129.03,483083.0
380,2021-07-13,129.5,129.5,127.5,128.97,777781.0
381,2021-07-14,129.3,129.49,127.62,128.93,641310.0
382,2021-07-15,129.45,129.59,128.0,128.41,470488.0
383,2021-07-16,129.01,130.5,128.0,129.97,1065671.0
384,2021-07-19,130.0,130.0,128.5,129.35,123932.0
385,2021-07-23,129.35,130.1,128.07,129.31,228896.0
386,2021-07-26,129.98,130.45,128.1,128.76,607740.0
387,2021-07-27,127.8,131.95,127.8,131.31,2267549.0
388,2021-07-28,131.9,131.9,129.55,130.8,802489.0
389,2021-07-29,131.0,131.0,128.5,128.93,531104.0
390,2021-07-30,129.0,129.47,126.0,126.67,2104560.0
391,2021-08-02,126.0,128.0,125.91,127.1,1102000.0
392,2021-08-03,127.7,128.88,127.11,128.5,850269.0
393,2021-08-04,128.98,129.99,128.01,129.58,1147034.0
394,2021-08-05,129.5,130.0,128.5,129.42,2016262.0
395,2021-08-06,129.05,129.85,128.72,129.06,644190.0
396,2021-08-09,129.89,129.89,127.1,128.43,997110.0
397,2021-08-10,128.85,128.95,127.55,128.46,170810.0
398,2021-08-11,128.46,130.48,128.05,128.84,606895.0
399,2021-08-12,128.84,129.72,128.55,129.31,269949.0
400,2021-08-13,129.0,129.98,128.6,129.68,212232.0
401,2021-08-16,129.97,130.5,128.25,129.92,577568.0
402,2021-08-17,130.65,131.0,129.1,129.76,554445.0
403,2021-08-20,130.0,130.45,129.3,129.52,657240.0
404,2021-08-23,129.52,130.99,129.5,130.2,1436189.0
405,2021-08-24,130.2,130.95,129.3,129.48,665106.0
406,2021-08-25,129.17,129.88,129.0,129.47,514053.0
407,2021-08-26,129.5,129.5,128.06,128.55,546479.0
408,2021-08-27,128.6,128.6,125.76,126.93,700103.0
409,2021-08-30,126.93,126.93,122.2,124.72,1847573.0
410,2021-08-31,125.0,127.35,124.07,125.2,1716145.0
411,2021-09-01,126.5,126.5,124.0,124.18,755613.0
412,2021-09-02,125.5,125.5,121.0,121.88,3167207.0
413,2021-09-03,122.5,122.99,119.75,120.83,1262849.0
414,2021-09-06,121.0,121.88,119.55,119.98,7009352.0
415,2021-09-07,120.25,120.25,117.0,119.09,1114530.0
416,2021-09-08,119.9,119.9,118.0,118.96,1021258.0
417,2021-09-09,117.6,118.5,115.15,116.17,2225103.0
418,2021-09-10,116.95,116.99,115.02,115.76,1112772.0
419,2021-09-13,116.35,118.97,115.52,117.63,2176748.0
420,2021-09-14,117.63,120.61,117.63,119.71,1840030.0
421,2021-09-15,119.99,121.0,119.05,120.0,1279190.0
422,2021-09-16,120.0,122.0,119.6,120.12,4589452.0
423,2021-09-17,120.44,120.44,118.33,118.97,1132673.0
424,2021-09-20,119.0,119.0,117.11,118.84,201140.0
425,2021-09-21,118.95,121.0,116.11,116.87,801918.0
426,2021-09-22,117.5,117.9,114.01,115.45,1150303.0
427,2021-09-23,115.5,116.4,114.0,115.46,818807.0
428,2021-09-24,115.99,115.99,113.51,114.89,143084.0
429,2021-09-27,115.0,115.0,111.0,111.99,5459595.0
430,2021-09-28,112.0,113.7,111.52,112.54,7044937.0
431,2021-09-29,113.9,113.9,110.41,110.91,1347349.0
432,2021-09-30,111.0,111.94,108.05,109.35,6587594.0
433,2021-10-01,109.95,110.89,108.6,110.09,3308845.0
434,2021-10-04,110.09,110.35,109.09,110.01,1599420.0
435,2021-10-05,110.02,110.7,109.0,109.35,1589523.0
436,2021-10-06,109.99,109.99,107.6,107.76,3148840.0
